,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
127,"frozenset({'Eletroeletrônicos / Eletrodomésticos', 'WhastApp Messenger'})",frozenset({'Android'}),0.3125,0.875,0.25,0.8,0.9142857142857144,-0.0234375,0.6250000000000001
128,"frozenset({'Eletroeletrônicos / Eletrodomésticos', 'Youtube'})",frozenset({'Android'}),0.5,0.875,0.46875,0.9375,1.0714285714285714,0.03125,2.0
129,"frozenset({'Eletroeletrônicos / Eletrodomésticos', 'Android'})",frozenset({'Youtube'}),0.5,0.90625,0.46875,0.9375,1.0344827586206897,0.015625,1.5
130,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),"frozenset({'Youtube', 'Android'})",0.5625,0.8125,0.46875,0.8333333333333334,1.0256410256410258,0.01171875,1.1250000000000002
131,"frozenset({'Mercado Livre', 'Google Play'})",frozenset({'Android'}),0.5,0.875,0.46875,0.9375,1.0714285714285714,0.03125,2.0
132,"frozenset({'Google Play', 'Android'})",frozenset({'Mercado Livre'}),0.53125,0.8125,0.46875,0.8823529411764706,1.085972850678733,0.037109375,1.5937499999999996
133,"frozenset({'Google Play', 'Netflix'})",frozenset({'Android'}),0.40625,0.875,0.34375,0.8461538461538461,0.967032967032967,-0.01171875,0.8125
134,"frozenset({'Google Play', 'Antivírus'})",frozenset({'Android'}),0.25,0.875,0.21875,0.875,1.0,0.0,1.0
135,"frozenset({'Google Play', 'Android'})",frozenset({'Backup'}),0.53125,0.84375,0.4375,0.8235294117647058,0.9760348583877995,-0.0107421875,0.8854166666666665
136,"frozenset({'Google Play', 'Backup'})",frozenset({'Android'}),0.5,0.875,0.4375,0.875,1.0,0.0,1.0
137,"frozenset({'Banco', 'Google Play'})",frozenset({'Android'}),0.5,0.875,0.4375,0.875,1.0,0.0,1.0
138,"frozenset({'Google Play', 'Android'})",frozenset({'Banco'}),0.53125,0.875,0.4375,0.8235294117647058,0.9411764705882353,-0.02734375,0.7083333333333331
139,"frozenset({'Google Play', 'Android'})",frozenset({'Compras'}),0.53125,0.9375,0.5,0.9411764705882353,1.003921568627451,0.001953125,1.0624999999999998
140,"frozenset({'Google Play', 'Compras'})",frozenset({'Android'}),0.5625,0.875,0.5,0.8888888888888888,1.0158730158730158,0.0078125,1.1249999999999996
141,frozenset({'Google Play'}),"frozenset({'Android', 'Compras'})",0.59375,0.84375,0.5,0.8421052631578947,0.9980506822612085,-0.0009765625,0.989583333333333
142,"frozenset({'Não uso nenhum desses/Não viajo', 'Google Play'})",frozenset({'Android'}),0.375,0.875,0.3125,0.8333333333333334,0.9523809523809524,-0.015625,0.7500000000000002
143,"frozenset({'Google Play', 'Não utilizo meu Smartphone para comprar ingressos/inscrever em eventos'})",frozenset({'Android'}),0.34375,0.875,0.28125,0.8181818181818182,0.9350649350649352,-0.01953125,0.6875000000000002
